"Region 2021","Degree of urbanisation, %, 2020","Population, 2021","Population change from the previous year, %, 2021","Share of persons aged under 15 of the population, %, 2021","Share of persons aged 15 to 64 of the population, %, 2021","Share of persons aged over 64 of the population, %, 2021","Share of Swedish-speakers of the population, %, 2021","Share of foreign citizens of the population, %, 2021","Excess of births, persons, 2021","Intermunicipal migration gain/loss, persons, 2021","Number of families, 2020","Number of household-dwelling units, 2021","Share of household-dwelling units living in terraced houses and detached houses, %, 2021","Share of household-dwelling units living in rental dwellings, %, 2020","Share of persons aged 15 or over with at least upper secondary qualifications, %, 2020","Share of persons aged 15 or over with tertiary level qualifications, %, 2020","Employed labour force resident in the area, 2020","Employment rate, %, 2020","Share of persons working in their municipality of residence, %, 2020","Proportion of the unemployed among the labour force, %, 2020","Proportion of pensioners of the population, %, 2020","Economic dependency ratio, 2020","Number of workplaces in the area, 2020","Share of workplaces in primary production, %, 2020","Share of workplaces in secondary production, %, 2020","Share of workplaces in services, %, 2020","Workplace self-sufficiency, 2020","Annual contribution margin, EUR per capita, 2020","Loan stock, EUR per capita, 2020","Group loan stock, EUR per capita, 2020","Educational and cultural activities, total, operating net costs, EUR per capita, 2020","Social and health care activities, total, operating net costs, EUR per capita, 2020"
"Ii",78.1,9912,0.6,21.8,56.5,21.7,0.2,0.5,-14,67,2638,4173,95.3,17.5,72.3,23.2,3570,68.9,44.6,14.7,25.8,175.9,2379,7.1,22.5,68.3,66.6,515.6,4898.8,7036.5,2451.9,3666.7
"Iisalmi",75.2,20958,-0.8,14.7,57.3,28.0,0.0,2.2,-147,-58,5722,10928,55.2,33.3,74.1,25.1,7881,66.9,78.3,16.6,32.1,168.0,8602,4.2,25.0,69.6,109.1,646.8,2903.9,5217.3,2005.1,4002.5
"Iitti",59.5,6559,-1.0,13.9,53.9,32.2,0.2,1.4,-65,-3,1822,3378,84.5,23.4,68.9,24.2,2450,70.7,51.0,11.8,36.0,170.4,1924,9.1,35.5,53.0,78.5,952.9,1259.0,2637.4,1650.3,3926.9
"Ikaalinen",59.2,6877,0.2,13.4,53.5,33.0,0.2,1.8,-42,36,1882,3525,78.0,23.1,70.7,25.0,2343,65.7,57.0,15.5,36.6,193.0,1969,10.7,17.8,69.0,84.0,859.9,3518.4,6293.2,1586.1,4074.0
"Ilmajoki",76.7,12366,0.6,19.4,58.1,22.6,0.2,1.1,23,5,3489,5448,93.3,18.2,74.9,26.8,5230,76.6,39.5,8.4,25.7,135.1,3362,10.8,20.1,67.2,64.3,448.1,4532.3,6754.1,2241.8,3469.7
"Ilomantsi",53.4,4643,-2.2,8.8,48.6,42.5,0.2,2.1,-86,-38,1299,2567,87.6,21.3,64.7,16.0,1391,59.8,76.7,21.6,48.1,241.4,1356,9.4,14.9,74.5,97.5,863.1,1998.7,4336.9,1837.2,5450.2
"Imatra",97.5,25655,-1.6,11.7,56.5,31.8,0.2,4.0,-254,-251,7054,14221,58.9,29.1,70.5,23.6,8779,61.8,69.1,20.6,36.3,197.0,8811,0.8,30.5,67.2,100.4,489.9,3897.3,9461.2,1685.1,4130.5
"Inari",66.3,7008,2.1,12.0,61.0,27.0,0.4,3.1,-36,155,1851,3342,88.5,31.6,73.0,25.1,2777,67.5,86.1,17.5,31.4,147.1,2705,6.4,8.6,82.9,97.4,882.8,1768.6,6662.8,2261.0,4616.4
"Ingå",41.0,5353,0.6,14.8,59.2,26.0,52.0,3.5,-9,32,1566,2422,88.5,14.6,72.6,35.0,2271,76.2,36.2,9.5,28.5,134.3,1307,9.0,23.9,63.8,57.6,947.8,2499.0,3121.4,2113.7,3402.0
"Isojoki",41.5,1891,-1.8,10.8,54.1,35.1,0.8,3.6,-21,-15,516,970,94.8,21.0,61.2,15.8,771,75.3,66.3,6.1,38.3,149.7,667,21.4,25.6,50.7,86.5,931.9,317.9,2203.1,1528.3,5060.3
"Isokyrö",72.5,4480,0.2,15.8,55.4,28.8,0.8,0.8,-32,34,1215,2123,91.9,18.1,71.7,24.9,1721,72.8,44.3,10.7,32.1,159.8,1352,14.2,19.5,64.5,78.6,630.5,894.7,2853.3,1898.2,3951.0
"Janakkala",77.1,16340,0.6,16.2,58.8,25.0,0.4,2.4,-35,124,4538,7892,73.2,21.4,72.2,25.8,6701,73.2,40.5,12.0,28.4,142.3,4764,4.9,28.4,65.1,71.1,617.3,3259.3,4741.1,1884.2,3418.4
"Joensuu",89.8,77261,0.4,13.2,63.9,22.9,0.1,3.5,-142,64,19536,42347,49.6,43.1,78.7,32.5,29400,61.7,82.7,17.0,25.9,161.7,33597,1.7,18.9,78.4,114.3,672.3,3100.8,7124.9,1807.2,3428.3
"Jokioinen",61.1,5046,-0.3,14.4,57.5,28.1,0.4,2.0,-19,-7,1490,2403,88.5,17.4,70.6,26.1,2115,75.4,40.5,9.5,30.1,139.3,1729,5.6,27.9,65.0,81.7,751.8,2445.8,2979.5,1843.9,3321.9
"Jomala",68.4,5512,2.3,21.1,63.4,15.5,88.0,8.6,50,48,1573,2249,87.4,11.9,72.5,31.7,2674,82.2,33.2,7.1,15.9,101.4,2400,3.2,20.1,73.8,89.8,330.7,0.0,363.2,2871.1,1221.9
"Joroinen",58.0,4624,-1.4,13.2,54.9,31.9,0.4,2.9,-37,-47,1361,2332,90.1,21.2,71.8,23.4,1791,71.4,48.7,11.4,36.1,161.8,1364,25.9,20.6,51.2,76.2,660.7,4855.8,7288.8,1729.2,4114.1
"Joutsa",59.1,4263,-0.8,10.4,49.7,39.9,0.2,2.0,-72,31,1133,2352,85.8,22.6,64.8,19.6,1432,68.1,68.4,13.8,43.4,200.1,1340,13.7,20.9,63.9,93.6,150.3,3864.1,7281.6,1676.8,5209.9
"Juuka",46.9,4444,-1.8,9.6,52.0,38.4,0.1,1.4,-92,4,1208,2444,90.0,21.0,64.1,17.2,1383,60.3,76.2,20.2,44.3,227.3,1322,10.7,22.8,64.8,95.6,747.3,1214.9,3161.5,1796.3,5478.0
"Juupajoki",45.7,1786,-0.8,13.5,54.1,32.4,0.3,1.0,-14,-6,513,861,90.2,18.8,65.7,20.3,682,74.1,47.9,8.0,36.8,163.9,636,10.8,45.1,43.1,93.3,658.9,1776.1,3953.3,1796.1,4126.7
"Juva",51.0,5887,-0.8,11.4,51.3,37.3,0.3,1.6,-71,12,1627,3113,81.0,20.3,67.9,20.2,2132,71.6,64.2,11.1,41.2,178.2,1817,19.9,15.5,62.7,85.2,895.3,3614.6,5859.2,1957.0,4789.6
"Jyväskylä",95.2,144473,0.7,14.9,66.2,19.0,0.2,3.5,213,329,36337,77612,36.2,45.0,80.1,37.2,58657,64.1,84.0,15.9,21.8,144.5,62971,0.6,16.9,81.1,107.4,500.6,2669.7,8552.4,1844.1,3159.0
"Jämijärvi",35.7,1685,-1.3,14.2,54.7,31.0,0.2,1.4,-25,5,484,807,96.7,13.3,68.0,18.9,631,72.4,43.1,12.1,35.6,170.5,413,23.0,25.7,47.9,65.5,797.3,2875.8,3639.7,1781.5,3711.8
"Jämsä",74.9,19767,-0.6,12.3,54.7,33.0,0.1,1.6,-179,13,5453,10472,72.2,23.7,71.5,23.4,7161,67.8,79.2,15.3,36.9,177.7,7146,4.0,34.9,59.8,99.8,627.4,2006.9,3060.2,1780.9,4446.3
"Järvenpää",99.9,45226,1.7,16.6,64.0,19.4,1.0,4.4,129,536,12059,22577,50.6,34.3,74.9,34.4,20302,74.0,34.0,11.5,21.9,119.0,13183,0.1,22.0,76.4,64.9,504.2,5164.2,9747.3,1975.4,3371.9
"Kaarina",95.6,35497,2.4,18.5,60.1,21.3,4.7,2.9,171,631,10084,16025,67.7,18.1,77.2,39.6,15225,76.4,27.3,10.0,23.9,127.7,9809,1.2,28.8,67.9,64.4,523.0,2566.6,3883.6,2019.0,3041.1
"Kaavi",45.9,2778,-1.0,10.9,52.5,36.6,0.1,1.5,-34,1,761,1498,87.7,21.2,63.8,14.2,880,61.1,57.5,16.4,43.6,219.0,775,12.6,26.1,59.6,88.1,746.7,2578.9,5905.6,1596.0,5696.8
"Kajaani",88.2,36493,-0.2,15.4,60.2,24.4,0.1,3.1,-98,-279,9606,18778,52.8,33.4,77.6,30.5,14693,69.2,86.2,11.6,28.4,148.9,15378,2.2,15.9,81.2,104.7,219.5,3670.1,18154.8,2931.9,4337.8
"Kalajoki",76.7,12412,0.1,18.0,55.4,26.6,0.4,2.5,-13,-20,3388,5479,91.7,17.3,70.9,22.3,4843,74.0,71.4,10.4,29.4,156.0,4389,12.6,30.3,55.5,90.6,741.9,3205.3,5349.3,2259.5,3580.7
"Kangasala",86.0,32622,1.3,18.6,60.4,21.0,0.2,1.7,38,378,9189,14824,65.8,20.8,77.2,35.5,13953,76.0,35.3,10.3,23.7,130.9,8658,3.4,26.2,68.0,62.1,977.9,2263.2,4656.5,1956.7,2934.1
"Kangasniemi",50.6,5230,-1.5,11.4,50.8,37.8,0.2,1.0,-73,-9,1410,2794,84.8,21.2,67.6,22.0,1821,69.1,69.0,11.2,41.8,191.7,1550,17.0,27.9,52.8,85.1,752.6,3375.2,5239.3,1623.7,4698.4
"Kankaanpää",69.6,12662,-0.8,13.9,56.7,29.3,0.1,3.5,-68,-84,3511,6444,78.2,29.0,69.2,21.9,4773,67.7,80.1,13.6,33.3,167.3,5251,6.3,23.8,68.6,110.0,619.2,4744.9,6797.8,1886.8,3781.0
"Kannonkoski",36.5,1311,-0.9,11.1,51.3,37.6,0.1,1.4,-24,11,356,668,93.6,19.6,62.8,16.8,414,64.4,60.1,17.2,43.0,219.6,364,17.3,22.0,59.6,87.9,433.9,7511.7,11894.9,2117.2,5038.5
"Kannus",73.8,5390,-0.7,18.0,56.9,25.1,0.4,2.0,-10,-39,1486,2454,88.0,21.5,69.9,20.8,2172,73.3,63.5,10.7,28.1,149.8,1980,13.7,24.9,59.5,91.2,459.3,2764.5,5164.9,2028.4,3858.1
"Karijoki",39.6,1192,-1.2,10.7,51.4,37.9,1.6,1.2,-13,-13,324,635,98.7,16.0,63.1,13.4,473,75.0,50.1,10.1,40.2,155.2,366,26.0,27.0,46.4,77.4,1507.0,1987.6,3447.4,1598.2,4831.8
"Karkkila",85.5,8717,0.2,14.5,58.0,27.5,0.7,6.0,-56,52,2374,4316,68.4,26.1,64.5,20.9,3438,70.9,52.0,12.9,30.3,152.9,2637,2.2,36.7,59.3,76.7,526.6,6670.5,7627.6,2095.0,3890.4
"Karstula",50.7,3774,-2.2,11.7,51.7,36.6,0.0,1.0,-42,-41,1110,1873,93.5,18.5,66.3,20.0,1279,65.6,74.3,17.1,40.1,201.6,1293,15.6,29.1,53.9,101.1,1085.5,3369.6,7203.2,1783.3,4588.6
"Karvia",33.1,2290,-1.4,12.3,52.6,35.1,0.0,4.0,-41,-5,644,1149,95.6,20.8,63.7,13.7,849,70.8,66.9,12.7,39.3,173.5,694,23.9,27.1,45.5,81.7,685.6,1046.9,3467.7,1755.0,4273.5
"Kaskinen",99.7,1289,0.9,12.2,46.5,41.3,27.4,10.1,-16,19,368,683,68.1,20.6,65.7,25.8,448,72.7,49.8,9.1,42.7,185.3,489,1.4,44.6,51.1,109.2,43.8,4654.1,7194.1,1921.0,5042.3
"Kauhajoki",68.0,12890,-0.9,15.1,56.2,28.8,0.4,2.2,-88,-55,3590,6396,92.6,23.1,68.9,21.2,4907,68.8,76.4,13.3,32.6,165.1,5127,8.8,24.0,65.9,104.5,415.2,5029.6,8538.6,1933.0,4469.7
"Kauhava",66.6,15312,-1.3,14.8,54.8,30.3,0.7,2.7,-103,-126,4329,7300,91.5,19.5,68.6,23.5,5852,72.0,75.8,10.9,33.8,165.1,5892,12.1,30.8,55.7,100.7,669.3,4100.9,9254.6,1882.1,4329.8
"Kauniainen",100.0,10396,2.1,17.9,60.0,22.1,30.8,6.4,8,192,2844,4474,45.2,32.0,82.1,59.3,4299,74.4,18.5,8.8,22.9,136.8,2343,0.2,3.5,92.6,54.5,1018.8,393.0,2565.8,3088.5,3266.7
"Kaustinen",66.6,4196,-0.8,18.1,57.2,24.7,1.9,1.7,-25,-7,1217,1862,94.2,21.7,69.5,23.3,1810,78.0,56.9,7.5,26.6,133.6,1558,12.6,20.9,65.3,86.1,784.8,7314.1,12264.4,2009.7,3764.4
"Keitele",48.3,2095,-2.8,10.4,49.4,40.3,0.1,1.0,-25,-36,608,1100,92.0,20.7,67.1,18.3,738,69.1,78.3,10.8,43.7,192.0,983,11.3,40.0,48.1,133.2,544.8,3537.4,9004.6,1610.7,4899.3
"Kemi",99.5,19982,-2.2,13.9,56.4,29.7,0.2,3.2,-139,-362,5229,10993,53.3,35.5,72.4,24.8,7109,62.7,74.9,18.0,34.4,187.5,8745,0.4,25.3,73.6,123.0,343.0,5244.6,7868.1,1951.5,4703.0
"Kemijärvi",70.0,7105,-1.2,9.3,49.7,41.0,0.1,1.4,-105,0,1992,3911,69.6,26.2,71.4,22.5,2231,62.3,80.4,19.7,46.1,222.3,2169,6.0,17.2,75.7,97.2,695.9,5573.6,10448.5,1974.0,5576.8
"Keminmaa",89.6,7904,-1.0,16.6,56.8,26.6,0.2,0.7,-8,-74,2338,3716,86.6,19.3,77.2,29.9,3167,73.1,36.4,11.3,30.2,152.1,2723,2.0,41.6,55.0,86.0,557.7,1854.1,3003.5,1946.1,3938.5
"Kimitoön",51.0,6614,0.1,12.1,52.6,35.3,67.1,3.8,-44,25,1844,3390,82.1,20.5,66.9,26.1,2445,71.5,73.7,10.9,38.6,170.3,2106,7.7,19.8,69.2,86.1,1018.2,2421.4,3887.7,2129.2,4010.6
"Kempele",96.3,19116,1.7,23.6,60.5,15.9,0.2,0.7,152,162,5225,7767,81.5,20.2,79.3,36.8,8128,76.6,29.8,9.8,18.8,131.3,6566,0.5,32.6,65.3,80.8,380.4,3448.7,4413.2,2378.3,3022.4
