"Region 2021","Degree of urbanisation, %, 2020","Population, 2021","Population change from the previous year, %, 2021","Share of persons aged under 15 of the population, %, 2021","Share of persons aged 15 to 64 of the population, %, 2021","Share of persons aged over 64 of the population, %, 2021","Share of Swedish-speakers of the population, %, 2021","Share of foreign citizens of the population, %, 2021","Excess of births, persons, 2021","Intermunicipal migration gain/loss, persons, 2021","Number of families, 2020","Number of household-dwelling units, 2021","Share of household-dwelling units living in terraced houses and detached houses, %, 2021","Share of household-dwelling units living in rental dwellings, %, 2020","Share of persons aged 15 or over with at least upper secondary qualifications, %, 2020","Share of persons aged 15 or over with tertiary level qualifications, %, 2020","Employed labour force resident in the area, 2020","Employment rate, %, 2020","Share of persons working in their municipality of residence, %, 2020","Proportion of the unemployed among the labour force, %, 2020","Proportion of pensioners of the population, %, 2020","Economic dependency ratio, 2020","Number of workplaces in the area, 2020","Share of workplaces in primary production, %, 2020","Share of workplaces in secondary production, %, 2020","Share of workplaces in services, %, 2020","Workplace self-sufficiency, 2020","Annual contribution margin, EUR per capita, 2020","Loan stock, EUR per capita, 2020","Group loan stock, EUR per capita, 2020","Educational and cultural activities, total, operating net costs, EUR per capita, 2020","Social and health care activities, total, operating net costs, EUR per capita, 2020"
"Kokkola",88.4,47909,0.3,18.5,58.5,23.0,12.3,2.6,63,-84,13031,22006,66.5,29.5,74.0,28.7,19576,72.9,87.5,10.4,25.7,144.0,20658,2.8,22.4,73.9,105.5,623.4,5156.1,9506.1,2082.5,3735.9
"Kolari",49.8,3989,1.6,15.7,57.0,27.3,0.7,2.1,-11,51,1014,1814,93.1,22.6,74.2,23.2,1567,70.6,75.7,15.1,30.7,150.5,1398,3.6,8.3,84.0,89.2,680.0,1149.0,3665.5,2115.2,4723.6
"Konnevesi",40.9,2586,-0.3,12.8,52.7,34.5,0.0,0.9,-43,34,720,1323,91.8,22.9,67.2,19.7,883,67.6,57.9,16.4,39.1,193.7,753,18.1,9.6,70.7,85.3,929.4,9621.7,12656.0,1928.3,4378.7
"Kontiolahti",71.1,15035,1.2,20.9,60.8,18.2,0.1,1.1,66,110,4235,6455,93.5,17.3,79.6,33.1,6386,74.8,28.8,11.9,20.8,132.6,3671,3.7,37.3,57.3,57.5,716.0,2939.6,4809.8,2267.5,2685.9
"Korsnäs",66.7,2050,-0.9,14.5,55.9,29.6,84.7,8.6,-10,-14,602,918,95.9,15.8,69.8,24.6,902,78.6,52.7,8.7,30.2,129.3,668,15.7,15.7,65.7,74.1,228.7,1453.6,3114.6,2179.9,3989.8
"Koski Tl",53.2,2271,-0.9,13.4,53.5,33.1,0.3,3.8,-24,-1,636,1164,90.0,16.1,66.8,20.6,857,72.9,57.3,10.8,36.3,167.4,865,14.2,25.1,59.1,100.9,878.3,218.2,743.5,2093.4,3896.6
"Kotka",98.3,51241,-0.8,12.9,58.8,28.3,1.0,5.5,-374,-195,13441,28007,44.0,36.4,73.3,28.0,18903,64.1,80.8,17.7,32.2,173.3,21301,0.4,21.9,76.5,112.7,747.5,5695.3,9850.8,2057.9,4351.1
"Kouvola",85.9,80454,-0.9,12.8,58.0,29.2,0.4,2.8,-587,-248,21935,43102,62.3,28.4,72.5,26.2,30675,67.4,83.9,14.9,33.5,164.7,29549,3.1,21.5,74.0,96.3,721.2,3287.5,5936.9,2086.9,4180.5
"Kristinestad",68.1,6380,-0.4,12.3,50.8,36.9,53.7,4.9,-71,-11,1848,3154,89.0,18.9,65.5,23.6,2494,76.7,74.3,6.1,39.7,156.8,2335,11.3,17.0,69.6,93.6,574.3,4653.2,6586.4,1897.6,4388.5
"Kronoby",54.9,6442,0.4,17.1,56.7,26.2,76.8,3.5,-13,6,1920,2676,93.6,12.3,67.7,25.0,2779,79.7,53.4,6.3,28.4,130.9,2334,12.3,40.8,45.1,84.0,726.5,3858.3,4690.0,2011.4,3719.9
"Kuhmo",64.2,7928,-1.4,10.8,51.1,38.1,0.1,1.4,-140,5,2188,4290,78.3,24.2,70.3,18.6,2699,66.9,86.0,15.1,43.6,198.0,2605,12.6,21.6,64.5,96.5,291.3,4926.8,7908.6,1588.3,5375.0
"Kuhmoinen",55.9,2158,-0.1,8.4,47.0,44.6,0.3,0.7,-37,32,573,1205,80.1,20.4,65.2,21.1,677,66.7,67.2,14.0,49.4,219.2,567,14.1,17.8,66.3,83.8,969.0,1791.3,4021.3,1858.9,4931.5
"Kumlinge",0.0,313,2.0,10.2,50.8,39.0,84.0,11.8,-3,0,82,164,91.5,17.4,63.0,27.2,129,76.1,56.6,6.5,38.4,138.0,87,4.6,2.3,80.5,67.4,1000.0,1384.4,0.0,2843.6,2697.1
"Kuopio",86.5,121543,1.1,14.3,63.6,22.0,0.1,2.9,-120,1081,31686,64305,41.2,40.5,78.9,34.3,50073,67.7,84.6,13.0,25.8,140.1,52118,2.6,14.4,81.9,104.1,476.0,3822.5,9714.6,2052.0,3894.8
"Kuortane",36.7,3528,-0.2,13.5,53.0,33.4,0.1,1.5,-25,15,1000,1676,93.9,18.0,66.9,23.4,1380,76.2,62.4,6.6,35.8,156.1,1397,11.7,23.1,63.6,101.2,725.5,2546.1,5757.2,2220.4,4140.4
"Kurikka",62.5,20197,-1.3,14.5,54.2,31.3,0.4,1.6,-173,-96,5777,9819,89.2,19.4,69.7,20.5,7659,71.4,65.8,11.1,34.9,167.1,6907,11.7,29.5,57.4,90.2,551.0,3751.3,6451.5,2017.1,4484.3
"Kustavi",37.2,971,0.9,9.0,50.7,40.4,1.3,2.1,-13,16,281,509,92.5,19.8,68.9,28.5,367,72.5,50.1,11.6,43.0,162.1,285,14.7,23.9,59.6,77.7,979.2,2604.0,4951.1,1533.3,4302.5
"Kuusamo",65.0,15165,-0.3,14.6,56.2,29.2,0.2,2.2,-135,46,4220,7332,74.3,25.8,73.3,22.0,5655,67.9,91.8,13.0,34.2,169.0,5848,5.6,17.2,76.1,103.4,570.0,2042.7,3866.2,2255.6,4245.5
"Kyyjärvi",58.9,1232,-4.3,15.0,47.9,37.1,0.1,1.6,-15,-41,341,590,96.4,19.4,60.1,15.2,420,66.4,67.6,14.8,39.0,206.7,430,10.5,43.3,44.7,102.4,1039.6,10133.5,15223.6,1837.7,4746.1
"Kärkölä",66.9,4245,-1.9,12.5,58.7,28.8,0.4,2.6,-44,-43,1221,2179,89.3,21.6,66.1,19.3,1658,68.2,45.7,16.6,32.5,160.9,1391,9.0,44.7,44.5,83.9,1045.5,3751.5,4074.9,1677.3,3477.1
"Kärsämäki",46.7,2533,-0.2,17.6,53.1,29.3,0.1,0.8,5,-10,637,1135,97.3,23.9,65.1,13.9,888,68.6,71.6,12.6,33.7,185.8,963,21.3,22.7,55.1,108.4,845.9,4639.1,8774.6,2411.7,4231.7
"Kökar",0.0,224,-0.4,4.0,60.3,35.7,86.2,5.8,-2,-1,59,115,93.0,21.6,67.9,24.3,96,70.9,67.7,14.3,38.2,134.4,94,4.3,13.8,75.5,97.9,-288.9,8693.3,0.0,2400.0,3244.4
"Lahti",97.5,120027,0.0,14.2,60.6,25.2,0.4,4.9,-377,54,30810,65496,32.6,41.1,72.5,29.3,45828,65.3,76.9,17.9,28.4,161.8,48780,0.5,24.3,73.8,106.4,774.2,7281.9,10364.1,1971.8,3485.9
"Laihia",82.4,7916,-1.0,19.2,57.0,23.9,1.1,1.3,-24,-62,2246,3557,88.8,17.2,72.9,30.7,3183,73.5,35.5,12.9,26.6,151.2,1705,8.2,20.3,69.1,53.6,505.1,3735.0,5175.0,1891.2,3656.0
"Laitila",70.2,8456,-0.1,16.1,58.4,25.5,0.4,8.1,-36,-24,2286,4068,73.9,23.7,67.0,20.4,3573,75.2,60.8,9.1,29.2,137.0,3447,9.9,37.7,50.7,96.5,686.8,3235.7,5519.1,2448.3,3576.1
"Lapinjärvi",29.0,2580,-1.6,14.5,55.0,30.5,29.7,6.0,-21,-26,725,1248,96.0,21.3,64.2,20.8,1005,70.7,48.1,14.0,32.7,160.8,787,22.9,19.6,54.9,78.3,1133.2,2882.1,6978.3,1852.0,3768.8
"Lapinlahti",53.3,9247,-1.2,14.4,56.5,29.1,0.1,1.3,-74,-44,2568,4622,90.0,23.7,69.5,21.0,3509,69.1,60.1,13.8,33.4,166.7,2846,16.5,24.9,57.0,81.1,486.0,3626.3,6405.1,1811.9,4517.0
"Lappajärvi",53.6,2866,-2.0,14.0,49.5,36.5,0.4,3.9,-35,-46,837,1346,90.2,14.8,70.2,22.0,988,68.9,64.7,10.4,40.3,196.1,885,17.4,22.0,58.2,89.6,394.5,4265.0,7076.2,1861.2,4762.1
"Lappeenranta",90.5,72634,0.0,13.4,61.8,24.8,0.2,4.8,-361,-225,18927,38992,45.3,37.7,75.6,31.5,28619,65.6,85.1,14.1,27.9,153.9,30927,1.5,21.2,76.1,108.1,499.6,3137.7,6976.4,1853.2,3794.4
"Lapua",78.5,14203,-0.1,17.7,57.2,25.1,0.2,1.9,-60,40,3938,6470,82.2,22.5,72.3,28.7,5656,73.2,56.0,9.8,28.7,151.4,4455,8.0,29.8,60.6,78.8,657.1,4976.9,8625.8,2297.4,3782.7
"Laukaa",72.7,18788,-0.2,21.8,57.2,20.9,0.1,0.9,-8,-38,5220,8004,87.2,19.2,75.5,28.4,7372,73.0,38.6,12.9,24.0,155.3,5150,4.1,27.0,67.0,69.9,680.2,4997.4,7827.8,2234.7,3262.6
"Lemi",54.1,2917,-1.6,17.4,55.7,26.9,0.1,1.5,-15,-32,853,1356,97.3,15.3,70.6,24.8,1190,73.5,27.1,11.3,29.1,149.1,509,12.4,15.9,68.0,42.8,426.5,2207.5,3971.0,1889.3,3895.4
"Lemland",32.7,2135,1.0,21.5,59.5,19.0,91.3,9.0,19,9,611,866,96.5,9.9,74.0,31.6,992,79.5,19.5,8.1,18.5,113.1,343,4.1,16.0,72.3,34.6,-65.8,2515.1,0.0,2957.4,1553.5
"Lempäälä",89.5,24164,1.4,21.9,61.0,17.0,0.3,1.6,91,233,6669,10267,73.2,21.1,78.6,38.3,10471,76.9,31.0,9.7,19.2,127.6,7529,1.8,26.1,70.3,71.9,624.8,3808.5,7067.9,2293.8,2885.5
"Leppävirta",58.1,9280,-1.3,13.2,54.7,32.1,0.1,1.3,-89,-42,2690,4687,84.0,19.2,71.5,25.0,3379,67.6,53.4,16.2,36.7,178.2,2591,8.3,32.7,56.9,76.7,649.1,1111.5,4110.2,1645.5,4409.1
"Lestijärvi",35.8,719,-0.4,15.3,51.3,33.4,0.1,1.7,0,-3,187,334,98.2,21.7,66.6,21.2,251,66.6,64.1,9.4,37.8,187.6,248,28.6,12.1,58.5,98.8,256.2,8914.1,12333.8,2037.4,4630.2
"Lieksa",69.6,10543,-1.6,9.7,50.8,39.5,0.1,3.7,-163,-113,2844,6002,72.0,25.7,67.2,18.8,3336,60.9,87.6,17.1,44.4,221.3,3406,7.6,23.4,67.8,102.1,968.2,643.1,3587.4,1564.7,4930.7
"Lieto",84.3,20291,0.7,19.2,60.8,20.0,1.5,1.8,18,103,5998,8701,79.0,13.1,76.2,35.3,9043,78.0,28.1,9.2,22.3,122.8,6397,2.8,29.6,65.5,70.7,713.8,3541.7,4612.5,1954.9,2924.9
"Liminka",80.4,10218,-0.2,30.8,58.4,10.8,0.1,0.4,69,-89,2521,3406,94.5,14.8,76.1,33.4,4041,76.0,31.2,9.8,12.8,153.4,2591,5.8,21.7,70.8,64.1,731.7,3072.2,4705.5,2626.8,2789.1
"Liperi",57.4,11979,-0.1,17.8,59.0,23.2,0.1,1.0,-17,-10,3357,5555,89.7,21.6,77.1,27.4,4779,70.5,36.4,15.2,26.8,151.0,3212,10.4,22.9,65.0,67.2,409.9,3526.6,4901.0,1894.4,3688.0
"Lohja",82.8,45988,0.2,15.5,59.3,25.3,3.5,3.8,-139,148,12728,22281,64.4,26.6,69.9,27.4,18948,73.0,58.7,11.5,28.2,142.2,15328,2.1,25.3,70.8,80.9,734.3,3887.7,6108.2,2174.1,3590.9
"Loimaa",67.2,15628,-0.9,13.4,55.1,31.5,0.2,3.2,-129,-57,4257,8090,74.6,22.5,68.9,24.0,5851,69.3,74.0,12.2,35.3,169.5,5949,9.5,28.0,61.0,101.7,809.9,2571.7,3399.3,1596.0,4083.5
"Loppi",55.3,7799,-0.7,15.7,58.1,26.2,0.5,2.3,-26,-41,2201,3556,89.2,15.0,68.9,22.6,3343,77.6,36.5,7.4,29.0,134.9,1993,8.4,23.8,64.8,59.6,785.3,2368.3,3481.0,2047.4,3260.9
"Loviisa",74.5,14643,-0.7,13.2,56.6,30.1,39.7,3.7,-118,-12,4094,7493,73.4,26.8,67.2,25.0,5645,69.4,57.9,16.3,33.2,161.2,4648,5.4,33.4,58.9,82.3,727.0,5722.6,7157.6,2191.5,3744.0
"Luhanka",0.0,703,0.6,8.0,50.5,41.5,0.0,0.7,-19,21,188,382,97.4,15.7,63.1,23.0,249,71.1,46.2,12.3,45.2,180.7,156,23.1,14.1,59.0,62.7,1267.5,4143.1,7130.2,1273.2,4337.6
"Lumijoki",66.0,2018,-0.9,25.5,55.6,19.0,0.2,1.4,2,-23,490,761,98.2,18.3,68.4,21.1,741,74.5,36.2,10.1,21.5,174.8,446,19.3,18.8,59.4,60.2,654.7,2930.7,4351.7,2453.8,2959.7
"Lumparland",0.0,376,1.1,15.2,56.4,28.5,84.6,12.2,-4,4,113,169,96.4,10.6,68.5,28.4,176,80.7,24.4,6.9,25.3,111.4,114,10.5,4.4,79.8,64.8,1053.8,4365.6,0.0,2508.1,1701.6
"Larsmo",88.3,5622,1.6,29.4,55.9,14.7,92.0,2.8,85,3,1412,1798,95.1,13.0,72.1,23.8,2343,82.4,29.4,4.1,16.4,136.2,1136,2.4,39.1,57.0,48.5,554.8,4978.3,8155.9,2476.0,2927.4
"Luumäki",61.7,4473,-1.5,11.6,53.0,35.3,0.3,2.2,-79,11,1235,2386,87.4,22.4,67.5,22.5,1670,72.0,53.4,12.6,38.6,172.0,1258,15.5,20.0,62.7,75.3,364.5,911.5,4351.7,2134.1,4781.0
"Malax",71.9,5487,0.7,15.6,55.2,29.2,85.3,4.3,-10,37,1577,2576,95.0,17.3,72.5,28.9,2401,80.0,53.2,7.0,30.4,127.0,1882,10.1,28.5,59.5,78.4,726.7,5170.6,6773.6,2247.8,3947.7
"Mariehamn",99.6,11742,0.3,13.9,60.7,25.4,82.5,14.8,-25,-72,2981,6150,42.9,44.5,70.8,34.5,5125,72.5,75.6,11.5,25.6,128.4,8247,0.1,9.6,88.6,160.9,783.6,2174.8,5891.5,2242.5,2049.3
"Marttila",46.1,1990,-0.5,16.1,55.5,28.4,1.0,2.4,-3,-9,559,973,93.9,15.6,67.8,22.2,809,74.1,37.6,10.7,31.0,147.1,477,17.2,22.9,58.1,59.0,579.8,1245.1,1754.9,1577.8,3332.2
"Masku",80.9,9612,0.7,19.6,61.2,19.1,1.2,1.6,28,27,2880,3930,93.9,8.4,76.7,33.1,4291,78.1,23.0,10.4,21.7,122.4,2323,3.7,26.9,67.4,54.1,671.4,5046.0,5312.9,2060.4,2927.5
"Merijärvi",38.0,1076,-0.2,25.0,50.8,24.2,0.1,0.2,-7,5,258,427,97.9,20.6,62.8,13.0,349,67.7,46.4,15.5,27.6,208.9,241,25.7,12.9,59.3,69.1,626.2,3648.4,4926.7,2497.2,3632.7
"Merikarvia",58.0,3055,-0.4,14.4,50.2,35.4,0.5,1.4,-35,20,849,1477,87.3,19.8,63.4,19.9,1041,69.4,66.4,12.9,39.5,194.5,911,12.5,31.9,53.5,87.5,768.8,1027.1,1485.3,1911.3,4802.3
"Miehikkälä",29.9,1835,-1.8,9.5,52.2,38.3,0.3,2.9,-24,-8,523,956,96.1,17.6,60.5,16.3,648,68.1,48.9,14.3,42.7,188.3,433,23.6,6.5,67.4,66.8,1062.6,4719.0,5793.4,1503.7,4142.4
"Mikkeli",81.1,52122,-0.9,13.6,58.5,27.8,0.2,2.6,-332,-287,13995,27601,55.8,33.0,75.2,31.1,20572,69.0,89.1,12.5,31.2,155.6,21348,2.9,18.3,77.6,103.8,652.9,5296.7,11307.0,1991.4,4127.3
"Muhos",80.0,8909,0.1,22.8,58.2,19.0,0.1,0.8,21,-23,2305,3667,91.3,19.6,74.6,26.2,3349,69.8,47.0,12.7,23.0,165.8,2501,8.0,11.6,79.0,74.7,577.1,5699.5,6725.6,2192.1,3735.9
"Multia",48.1,1488,-4.5,12.6,50.0,37.4,0.1,1.5,-25,-50,424,750,95.2,18.4,67.3,19.3,505,65.8,57.0,14.8,40.1,208.5,531,32.2,23.9,42.6,105.1,982.0,1242.0,3875.5,1699.6,4558.4
"Muonio",51.7,2321,1.0,14.8,57.0,28.2,0.7,3.5,-10,29,621,1038,92.0,20.9,74.4,24.8,892,70.1,80.9,15.4,30.4,157.5,929,3.1,7.2,87.1,104.1,1098.8,2779.7,3696.1,2487.2,4694.8
"Korsholm",80.8,19536,0.4,19.4,57.9,22.6,68.8,2.0,39,19,5791,8265,89.1,12.5,77.8,38.0,8570,80.0,32.9,8.2,24.0,127.0,5016,5.8,25.8,65.8,58.5,794.0,4663.2,5755.2,2320.2,3184.6
"Muurame",87.1,10426,1.5,21.2,59.6,19.2,0.1,1.0,38,115,2967,4378,78.2,18.6,79.6,38.8,4372,76.1,28.9,10.3,21.4,134.8,2709,1.3,37.8,58.7,62.0,934.4,1712.0,4588.6,2097.1,2498.6
"Mynämäki",65.9,7594,-0.7,14.8,57.7,27.5,0.9,2.3,-33,-24,2244,3594,89.5,15.1,71.2,23.1,3183,75.2,38.9,10.4,30.9,140.2,1870,16.0,23.7,57.5,58.7,462.7,4538.5,5154.9,1684.1,3789.7
"Myrskylä",47.8,1816,-2.9,13.8,55.6,30.7,9.5,3.2,-6,-48,522,871,96.0,17.8,66.9,20.6,720,72.2,42.4,15.9,32.0,159.9,489,20.0,24.5,52.4,67.9,803.3,2829.0,3065.2,1580.4,3795.3
"Mäntsälä",73.7,20837,0.3,18.9,60.9,20.2,0.8,3.0,16,27,5780,9188,77.9,20.3,70.7,26.1,9270,77.3,37.2,9.1,22.5,124.2,6134,3.8,21.8,72.6,66.2,664.9,4287.9,9548.9,2479.8,3294.6
"Mänttä-Vilppula",83.3,9563,-1.1,11.6,51.8,36.6,0.1,2.2,-120,-5,2675,5179,67.1,24.6,68.8,20.6,3329,66.9,76.6,13.2,40.6,190.6,3584,3.1,36.7,58.6,107.7,300.3,4415.4,7342.1,1725.8,4811.5
"Mäntyharju",62.6,5635,-0.7,11.0,50.7,38.3,0.2,1.8,-84,21,1489,3046,81.5,23.4,64.5,21.6,1929,68.0,69.4,12.6,42.5,194.2,1849,10.1,33.9,54.2,95.9,799.7,3566.1,5667.5,1640.4,4932.5
"Naantali",85.5,19579,0.8,14.5,58.4,27.1,1.4,2.1,-83,178,5636,9574,60.7,24.6,76.2,35.6,8044,73.5,35.5,11.4,30.0,141.5,5494,2.0,30.9,64.6,68.3,977.0,772.1,3338.0,1890.9,3340.0
"Nakkila",75.6,5169,-1.7,14.4,55.9,29.7,0.5,1.1,-34,-59,1513,2555,87.2,16.0,69.8,23.9,2023,71.6,36.4,11.0,32.5,159.8,1512,5.9,37.0,55.4,74.7,520.7,1379.4,2188.9,1750.6,3865.3
"Nivala",65.3,10396,-1.0,21.9,54.2,23.9,0.0,0.8,-27,-90,2651,4461,90.0,20.5,71.4,19.2,3905,73.3,67.3,10.8,26.8,168.9,3679,12.5,31.3,54.7,94.2,589.2,6157.1,11085.5,2211.3,4262.7
"Nokia",91.5,34884,1.2,18.0,61.0,21.1,0.3,1.7,7,370,9585,16539,58.9,25.2,75.2,30.4,14397,72.5,38.8,13.1,24.2,139.5,10709,0.9,31.8,65.8,74.4,746.3,2948.9,4734.8,1961.9,3133.6
"Nousiainen",68.5,4689,-0.1,19.1,60.0,20.9,0.9,1.6,4,-22,1394,1966,90.3,10.1,74.8,27.1,2079,77.5,24.1,9.9,23.5,125.7,954,10.0,18.3,68.3,45.9,864.1,3485.0,3829.5,2342.9,3124.9
"Nurmes",61.1,9423,-0.8,11.5,51.8,36.7,0.1,1.7,-100,-34,2519,5077,76.7,24.6,67.4,19.1,3207,65.7,85.5,17.0,40.8,196.3,3190,15.3,20.7,62.4,99.5,838.0,1528.7,3377.4,1866.2,4741.8
"Nurmijärvi",89.0,44127,1.1,19.4,63.3,17.3,1.2,4.8,147,217,12149,19223,71.2,24.0,72.4,31.5,19987,77.0,33.5,10.4,19.2,118.5,11801,1.5,27.8,68.5,59.0,651.0,4734.4,7408.1,2249.5,3059.1
"Närpes",60.0,9562,0.0,15.9,55.4,28.6,76.4,15.2,-52,-56,2734,4260,83.0,19.0,63.4,22.8,4271,81.8,85.8,4.9,30.4,123.8,4547,24.4,22.8,51.4,106.5,922.4,3736.7,6555.8,2188.8,3700.8
"Orimattila",67.4,15808,-0.5,16.2,57.9,25.9,0.6,2.2,-74,-17,4363,7684,78.4,22.0,68.8,21.4,6274,72.1,45.0,13.3,29.2,153.1,4458,8.4,33.0,56.7,71.1,783.5,3709.3,4677.2,1970.0,3533.6
"Oripää",53.8,1337,0.2,16.1,56.5,27.4,0.4,7.9,-12,2,362,610,93.8,17.9,60.6,18.0,534,75.2,48.5,7.9,29.7,149.8,451,27.3,22.2,48.6,84.5,864.3,2727.9,3140.9,1841.1,3991.0
"Orivesi",72.6,8978,-0.3,14.1,54.6,31.3,0.1,1.2,-53,18,2503,4496,76.4,21.3,70.7,25.6,3391,71.0,49.1,12.5,34.4,165.6,2448,10.2,16.7,70.9,72.2,565.8,2326.3,4081.7,1858.1,4216.6
"Oulainen",74.8,7102,-0.7,17.0,54.7,28.2,0.1,0.8,-39,-12,1863,3422,84.7,22.2,71.3,22.8,2563,69.1,71.8,13.3,32.1,179.2,2792,4.8,24.1,70.1,108.9,659.3,4607.4,6995.7,2164.2,4584.8
"Oulu",96.7,209551,1.1,17.1,66.1,16.9,0.2,3.4,632,811,52572,106170,45.0,42.3,79.9,37.7,87409,66.9,87.0,14.0,20.1,137.2,91589,0.6,19.1,79.3,104.8,465.0,3621.2,5928.8,2078.1,3319.4
"Outokumpu",71.2,6506,-0.7,13.2,53.0,33.8,0.1,3.2,-81,11,1745,3483,75.8,29.6,71.1,19.0,1962,58.3,71.0,21.5,38.3,233.9,2162,3.6,38.1,57.4,110.2,4897.1,2037.9,4930.3,1854.1,4636.0
"Padasjoki",50.9,2813,-1.7,9.7,48.6,41.6,0.4,1.1,-52,-3,797,1509,83.8,22.6,62.2,18.4,931,69.3,58.8,13.2,45.6,207.3,714,12.5,22.4,62.6,76.7,1227.9,3070.6,4147.5,1519.7,4840.3
"Paimio",80.1,11041,1.1,19.0,58.3,22.7,1.1,2.3,27,80,3066,5099,71.1,22.1,75.6,32.5,4640,75.8,35.0,9.3,25.2,135.4,3122,4.7,22.1,71.7,67.3,391.8,5010.5,5925.6,2087.6,3156.3
"Paltamo",59.2,3183,-1.6,12.0,53.5,34.5,0.1,0.7,-58,8,899,1645,92.6,25.2,68.3,19.1,1088,64.4,54.1,15.4,39.6,197.3,944,8.8,15.5,74.4,86.8,123.0,5265.2,8816.4,1751.5,5472.6
"Pargas",67.5,15086,-0.1,14.7,56.5,28.7,54.9,2.9,-65,26,4358,7229,78.0,18.4,73.6,35.0,6186,75.4,59.1,8.9,31.2,144.2,5026,4.2,28.3,65.4,81.2,409.3,2833.6,3390.0,2375.2,3997.0
"Parikkala",45.5,4567,-1.9,10.1,48.3,41.6,0.2,1.2,-70,-21,1272,2517,84.7,20.8,66.7,19.3,1536,67.9,65.3,14.7,45.7,203.1,1292,18.3,16.3,62.3,84.1,75.2,239.5,911.3,1470.0,5225.6
"Parkano",68.1,6286,-1.0,13.6,52.3,34.2,0.2,1.7,-34,-36,1726,3215,79.0,22.6,67.8,19.0,2201,67.9,75.0,13.4,38.1,188.6,2356,6.7,32.3,60.2,107.0,409.9,3445.1,5545.5,1592.7,4398.0
"Pedersöre",73.6,11172,0.0,23.3,58.0,18.7,88.8,2.7,49,-63,3129,4045,94.1,11.6,72.0,23.6,4902,80.9,48.5,7.0,20.4,127.9,4117,9.8,45.6,43.1,84.0,587.3,3314.1,4553.5,2488.8,3192.9
"Pelkosenniemi",35.5,924,-0.8,9.4,52.3,38.3,0.4,0.5,-18,10,257,478,96.4,22.1,74.0,24.0,331,64.4,71.3,16.4,43.9,181.3,386,2.8,8.5,86.5,116.6,673.5,5121.4,7114.9,2055.9,6778.7
"Pello",54.0,3296,-0.2,9.4,48.1,42.5,0.5,1.3,-39,29,971,1714,89.4,17.6,68.3,20.8,1047,64.4,79.2,15.6,46.5,215.6,1028,10.8,16.9,68.8,98.2,606.2,1405.6,3381.7,1706.1,6033.6
"Perho",37.8,2676,-1.1,25.0,50.0,25.0,0.5,0.6,2,-33,672,1032,97.0,17.7,61.9,14.6,889,71.3,76.8,10.7,28.4,204.4,873,16.5,28.6,53.8,98.2,1019.2,6925.0,7872.5,2515.2,4117.9
"Pertunmaa",42.4,1644,-0.6,10.0,49.8,40.1,0.2,1.6,-20,13,431,904,96.5,21.0,62.3,16.5,560,68.1,63.9,11.5,43.8,195.4,535,19.4,20.2,56.3,95.5,113.1,4880.3,6663.8,1850.1,5159.6
"Petäjävesi",61.5,3678,-2.5,18.2,56.7,25.2,0.2,1.0,-28,-68,1011,1714,90.2,21.2,73.4,26.3,1456,72.3,38.0,13.3,28.2,159.1,844,12.4,18.6,66.0,58.0,451.5,3745.0,7826.9,2316.0,3798.3
"Pieksämäki",75.9,17253,-0.7,11.5,54.4,34.1,0.1,2.0,-166,21,4748,9464,64.0,30.5,71.5,23.1,6271,67.4,83.7,11.8,39.4,177.1,6395,4.8,19.9,74.2,102.0,630.5,4747.5,6773.2,1516.7,4699.0
"Pielavesi",41.9,4269,-1.2,12.6,48.7,38.6,0.2,1.2,-59,-3,1162,2183,82.5,18.5,65.2,16.6,1393,68.3,66.1,11.6,43.1,210.2,1186,23.0,9.8,64.2,85.1,927.1,3215.9,5578.3,1897.0,5393.4
"Jakobstad",98.5,19097,0.2,15.2,58.4,26.4,56.0,8.4,-63,-73,5253,9213,58.1,26.4,68.9,29.6,7698,72.5,74.1,10.4,29.4,147.7,10476,1.0,37.5,60.7,136.1,361.3,3928.5,7035.7,2308.9,4185.0
"Pihtipudas",48.0,3873,-1.5,13.7,53.0,33.3,0.0,0.6,-39,-27,1034,1969,93.0,24.1,64.1,16.0,1409,70.6,76.2,12.8,37.0,179.0,1357,16.7,15.8,66.2,96.3,621.0,5458.2,10552.3,2134.3,4734.7
"Pirkkala",97.8,20206,2.0,19.7,62.0,18.3,0.4,2.1,92,294,5668,9014,56.6,21.5,80.0,42.2,8940,77.4,26.8,9.6,20.4,121.5,8864,0.2,27.4,71.1,99.1,725.5,2935.2,3311.8,2270.4,2991.4
"Polvijärvi",29.3,4161,-1.0,13.0,52.3,34.7,0.1,0.8,-53,6,1156,2118,94.2,18.2,69.4,17.2,1380,64.3,54.9,18.7,39.8,204.4,1114,18.6,24.7,54.8,80.7,390.9,35.7,1524.9,1732.7,4379.7
"Pomarkku",62.3,2013,-2.4,13.8,52.9,33.3,0.1,1.0,-23,-20,586,1002,94.1,18.4,63.4,19.6,705,65.8,42.6,13.8,37.5,192.6,505,11.3,33.1,53.1,71.6,312.2,1988.4,2537.6,2038.8,4405.7
"Pori",93.7,83482,-0.2,13.7,59.6,26.7,0.6,2.9,-406,-15,22251,44623,55.5,33.6,74.0,28.6,32021,66.6,79.7,15.9,30.3,161.3,33086,1.4,19.0,78.3,103.3,385.8,3404.2,6792.6,1779.2,3683.1
