"Region 2021","Degree of urbanisation, %, 2020","Population, 2021","Population change from the previous year, %, 2021","Share of persons aged under 15 of the population, %, 2021","Share of persons aged 15 to 64 of the population, %, 2021","Share of persons aged over 64 of the population, %, 2021","Share of Swedish-speakers of the population, %, 2021","Share of foreign citizens of the population, %, 2021","Excess of births, persons, 2021","Intermunicipal migration gain/loss, persons, 2021","Number of families, 2020","Number of household-dwelling units, 2021","Share of household-dwelling units living in terraced houses and detached houses, %, 2021","Share of household-dwelling units living in rental dwellings, %, 2020","Share of persons aged 15 or over with at least upper secondary qualifications, %, 2020","Share of persons aged 15 or over with tertiary level qualifications, %, 2020","Employed labour force resident in the area, 2020","Employment rate, %, 2020","Share of persons working in their municipality of residence, %, 2020","Proportion of the unemployed among the labour force, %, 2020","Proportion of pensioners of the population, %, 2020","Economic dependency ratio, 2020","Number of workplaces in the area, 2020","Share of workplaces in primary production, %, 2020","Share of workplaces in secondary production, %, 2020","Share of workplaces in services, %, 2020","Workplace self-sufficiency, 2020","Annual contribution margin, EUR per capita, 2020","Loan stock, EUR per capita, 2020","Group loan stock, EUR per capita, 2020","Educational and cultural activities, total, operating net costs, EUR per capita, 2020","Social and health care activities, total, operating net costs, EUR per capita, 2020"
"Kokkola sub-regional unit",86.9,53299,0.2,18.4,58.4,23.2,11.1,2.5,53,-123,14517,24460,56.4,28.7,73.5,27.9,21748,73.0,85.1,10.4,25.9,144.6,22638,3.8,22.6,72.6,104.1,606.6,4912.1,9063.3,2077.0,3748.3
"Oulu sub-regional unit",94.4,257355,1.0,18.7,64.7,16.7,0.2,2.9,923,765,64984,124595,35.2,38.7,79.3,36.7,106536,68.3,77.5,13.4,19.8,139.2,105300,1.2,19.8,77.9,98.8,475.8,3677.9,5754.9,2136.1,3294.3
"Oulunkaari sub-regional unit",61.5,22855,-0.6,17.4,53.8,28.7,0.1,1.2,-181,-17,6036,10591,72.2,20.7,69.0,19.5,7729,65.7,60.5,15.8,33.8,197.4,6386,10.4,20.2,67.6,82.6,509.0,4541.0,7698.7,2430.0,4382.8
"Raahe sub-regional unit",79.3,32336,-0.3,18.1,55.3,26.7,0.1,2.5,-57,-217,8682,15186,63.1,24.5,71.9,21.9,11223,66.2,76.9,15.3,31.0,189.0,12070,5.3,37.4,56.4,107.5,789.6,5963.6,10075.1,2228.9,3904.8
"Haapavesi-Siikalatva sub-regional unit",54.4,13375,-0.7,17.9,54.7,27.4,0.0,2.1,-80,-119,3467,6102,73.3,20.5,68.8,17.0,4843,69.5,73.9,12.7,31.7,178.0,4959,15.2,32.1,51.3,102.4,302.0,3963.7,6728.3,2180.3,4433.2
"Nivala-Haapajärvi sub-regional unit",60.7,27385,-1.1,18.8,53.6,27.6,0.1,0.9,-120,-223,7143,12445,68.2,22.3,68.3,18.9,9950,70.4,71.7,11.8,31.6,178.2,9749,13.8,25.5,59.4,98.0,597.2,6433.5,10279.7,2155.4,4572.0
"Ylivieska sub-regional unit",74.2,43219,-0.2,19.8,56.2,24.0,0.3,1.5,-28,-128,11351,19332,65.7,22.9,71.6,23.1,16649,72.5,67.8,11.5,27.5,160.0,16778,7.8,27.9,63.1,100.8,738.5,5285.5,6934.3,2383.3,3876.2
"Koillismaa sub-regional unit",61.3,19078,-0.3,14.6,55.7,29.7,0.2,2.1,-162,68,5268,9160,58.9,25.3,72.4,21.1,6990,67.4,89.7,13.6,34.8,173.7,7087,6.9,17.4,74.6,101.4,669.7,1936.4,3934.8,2239.6,4328.0
"Kehys-Kainuu sub-regional unit",61.9,20021,-1.5,10.0,50.6,39.4,0.1,1.7,-320,-38,5595,10740,63.0,23.4,68.5,17.9,6602,64.4,80.3,16.0,44.8,207.9,6018,12.4,18.6,67.6,91.2,462.1,3449.5,6773.5,1676.2,5492.8
"Kajaani sub-regional unit",79.8,51234,-0.2,15.0,59.0,26.0,0.1,2.8,-242,-239,13682,26072,45.0,30.8,76.1,28.8,20496,69.9,80.1,11.1,30.1,150.5,21134,3.6,20.1,75.4,103.1,127.2,3524.6,14759.3,2696.9,4508.6
"Rovaniemi sub-regional unit",88.1,67850,0.9,16.3,62.8,20.9,0.2,2.5,96,300,17306,34812,38.6,38.7,79.0,33.5,27373,66.8,89.7,14.8,24.4,145.6,26726,2.5,12.8,83.3,97.6,472.5,4044.1,5529.4,2081.2,3737.5
"Kemi-Tornio sub-regional unit",88.1,55005,-1.4,15.4,56.9,27.7,0.3,2.5,-312,-593,15048,27832,53.4,29.3,73.7,25.7,20831,68.0,67.8,14.3,31.7,167.7,21576,2.1,33.0,62.8,103.6,500.5,3479.9,5510.1,1927.5,4173.5
"Torniolaakso sub-regional unit",50.5,7126,-0.9,9.7,49.2,41.1,0.6,2.1,-109,30,2054,3655,80.5,18.0,68.0,20.3,2328,64.5,77.8,15.4,44.9,209.0,2189,11.2,16.3,67.6,94.0,580.6,719.8,2618.7,1767.3,5821.9
"Itä-Lappi sub-regional unit",55.5,15520,-0.9,9.0,50.8,40.2,0.2,1.4,-254,83,4330,8206,65.5,23.8,69.4,20.4,5039,63.3,78.6,18.6,45.5,210.7,4830,11.4,12.5,74.6,95.9,638.3,4410.0,7757.4,1998.0,5902.3
"Tunturi-Lappi sub-regional unit",51.3,14622,1.1,14.7,59.9,25.4,0.5,2.9,-59,171,3712,6574,74.8,25.9,74.6,23.5,6057,71.1,81.9,15.6,28.3,138.8,6238,4.2,17.7,75.6,103.0,1022.3,1978.7,5893.4,2516.7,4653.6
"Pohjois-Lappi sub-regional unit",60.7,16371,0.1,12.6,59.1,28.3,0.3,2.4,-104,95,4403,8047,64.9,30.5,73.4,25.1,6741,70.6,85.6,14.1,32.2,142.5,6813,6.6,18.6,73.1,101.1,1052.7,3512.3,7263.7,2200.2,4833.5
"Mariehamns stad sub-regional unit",99.6,11742,0.3,13.9,60.7,25.4,82.5,14.8,-25,-72,2981,6150,36.4,44.5,70.8,34.5,5125,72.5,75.6,11.5,25.6,128.4,8247,0.1,9.6,88.6,160.9,783.6,2174.8,5891.5,2242.5,2049.3
"Ålands landsbygd sub-regional unit",46.0,16547,1.2,18.8,60.5,20.8,89.0,10.1,69,53,4739,7142,82.6,14.3,68.6,25.7,7675,79.4,29.7,8.0,20.9,113.1,5104,7.4,21.9,66.3,66.5,352.8,1202.3,534.9,2677.1,1729.6
"Ålands skärgård sub-regional unit",0.0,2055,-0.6,11.8,54.8,33.3,82.1,13.4,-14,-34,535,1009,85.2,17.6,63.7,25.5,889,76.5,59.7,7.2,32.8,132.6,699,14.6,7.4,72.0,78.6,304.6,2041.1,0.0,2563.8,2931.8
